person_index,canonical_name,canonical_email,erp_us_customer_id,erp_eu_client_ref,crm_account_id,clickstream_true_event_count,clickstream_captured_event_count,clickstream_captured_variants,appears_in_erp,appears_in_crm,appears_in_clickstream
1,James Lin,melissanorman@example.org,CUST-00001,,ACCT-00048,29,5,melissanorman@example.org  ;melissanorman@example.org;melissanoramn@example.org,True,True,True
2,Robert Leonard,oholmes@example.net,CUST-00002,,ACCT-00131;ACCT-00233;ACCT-00238,19,3,Oholmes@example.net;oholmes@example.net,True,True,True
3,Anthony Frazier,wardwendy@example.com,CUST-00003,EU-CLI-000141,,20,3,wardwendy@example.com;wardendy@example.com,True,False,True
4,Amy Holt,bwilkins@example.org,CUST-00004,EU-CLI-000055,,33,8,bwilkins@example.org  ;bwilkins@example.org;  bwilkins@example.org;bilkins@example.org;BWILKINS@EXAMPLE.ORG,True,False,True
5,Tiffany Scott,fkidd@example.org,CUST-00005,EU-CLI-000110,,30,5,fkidd@example.org;fkied@example.org;  fkidd@example.org;fidd@example.org,True,False,True
6,Janice Pratt,fullernathan@example.com,CUST-00006,EU-CLI-000020,ACCT-00082;ACCT-00170;ACCT-00260,25,4,fullernathan@example.com;  fullernathan@example.com,True,True,True
7,Sherry Stone,ryanking@example.com,,EU-CLI-000065,ACCT-00017;ACCT-00055,28,4,ryankin@example.com;ryanking@example.com;Ryanking@example.com,True,True,True
8,Betty Ellis,marc88@example.org,CUST-00008,EU-CLI-000047,,35,9,marc88@example.org;mafc88@example.org,True,False,True
9,Todd Reynolds,mkelly@example.com,CUST-00009,EU-CLI-000245,ACCT-00073,30,4,MKELLY@EXAMPLE.COM;mkelly@example.com  ;mkelyl@example.com,True,True,True
10,Dana Martinez,andersonpaula@example.com,,EU-CLI-000145,ACCT-00063,31,2,Andersonpaula@example.com;andersonpaula@example.com  ,True,True,True
11,Timothy Nunez,karenjefferson@example.org,,EU-CLI-000249,ACCT-00114,28,3,karenjefverson@example.org;karenjefferson@example.org;karenjeferson@example.org,True,True,True
12,Mrs. Mary Nunez,jwoodward@example.com,,EU-CLI-000085,ACCT-00151;ACCT-00200;ACCT-00261,26,3,JWOODWARD@EXAMPLE.COM;jwoodward@example.com;jwodward@example.com,True,True,True
13,Savannah Lopez,nmiller@example.org,CUST-00013,EU-CLI-000074,ACCT-00328,30,3,nmiller@example.org;nmillwr@example.org;NMILLER@EXAMPLE.ORG,True,True,True
14,Shannon Barnes,nuneztheresa@example.org,CUST-00014,EU-CLI-000243,ACCT-00088;ACCT-00132,34,6,nuneztheresa@example.org;nunezthwresa@example.org;nunezhteresa@example.org;Nuneztheresa@example.org,True,True,True
15,Roy Foster,megan92@example.com,CUST-00015,EU-CLI-000148,ACCT-00013;ACCT-00033;ACCT-00097,27,3,megan92@example.com;megan92@example.com  ,True,True,True
